iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
52,10.264155149459839,-5.551634844243016,1.8369860475014306,-1.8511239832650532,-9.30923803390443,438.6,295.56055217163197,1700,0,0.0,1.0,0.0809175968170166,1.8358352184295654,0.009886958,-0.022381388,0.007982559,-5.052252852844528,0.0,438.6,40000,8.421987533569336,0.005401008983902298,0.003992810535218416,-5.521594116228308,0.0,57.6
53,10.362457513809204,-5.707966640129919,1.921516575935221,-2.330889632575531,-9.287688393661869,653.7,378.64007975912955,2080,20,0.0,0.8,0.07826900482177734,1.8199524879455566,0.006534764,0.011359565,-0.016193587,-5.117824231573067,0.0,653.7,40000,8.473679780960083,0.007197176550238542,0.00494127668185084,-5.335501292020297,0.0,0.0
54,10.26379919052124,-5.578534863745135,1.8890684272502922,-2.3685906615301433,-9.347017555491432,509.4,340.25525712323685,1680,0,0.0,1.0,0.07764410972595215,1.7849113941192627,0.009900943,0.013909751,-0.017664423,-5.163895294790274,0.0,509.4,40000,8.553202390670776,0.006131161507391526,0.005142530653265178,-5.137985425261948,0.0,0.0
55,10.265369176864624,-5.44309086423932,1.7215348644307356,-2.353098092855601,-8.733811740171275,305.4,235.50762195733708,1180,0,0.0,0.8,0.07667851448059082,1.8706374168395996,0.006406681,-0.019479858,0.00731937,-5.191814851735179,0.0,305.4,40000,8.383692264556885,0.007642196874527566,0.006544943120073576,-5.341106672480539,0.0,0.0
56,10.158045530319214,-5.584567643533507,1.920800156285943,-2.162193504204759,-9.133710838730222,448.8,286.1600251607481,1600,0,0.0,1.0,0.07656168937683105,1.783435583114624,0.009951678,-0.023431633,0.00919047,-5.231090130915012,0.0,448.8,40000,8.50377631187439,0.007110202595536142,0.004509916723034558,-5.574948936765396,0.0,12.0
57,10.307720422744751,-5.921259140880702,2.1528885340946022,-1.886145949836508,-9.701194518456642,654.65,380.2142521000495,1900,0,0.0,0.8,0.0773003101348877,1.7801499366760254,0.006501258,0.010426616,-0.01458281,-5.3001070319115815,0.0,654.65,40000,8.04250454902649,0.00523796793568142,0.004067547750009028,-5.39240854215158,0.0,0.0
58,9.994889736175537,-5.943038821093598,2.0323950026548476,-2.1457186844194616,-9.471909946278505,466.25,300.59347547809483,1640,0,0.0,1.0,0.07516670227050781,1.7879488468170166,0.009951955,-0.022796463,0.010701188,-5.364400210829784,0.0,466.25,40000,7.985149145126343,0.005150303628298626,0.004638423176427519,-5.654050179047929,0.0,20.8
59,10.15433955192566,-5.976368961610412,2.1689299447552357,-2.3837652796853597,-9.880432822599136,706.5,391.5581055220285,1800,0,0.0,0.8,0.07733988761901855,1.7794227600097656,0.0065004006,0.011033733,-0.015114312,-5.425597085907847,0.0,706.5,40000,8.083337545394897,0.006656981358176156,0.0032370076015615914,-5.499037349661223,0.0,0.0
60,10.263404607772827,-5.747359207973834,2.0209014388062796,-2.1082432865310152,-9.778600044474283,531.8,325.85696248507566,1570,0,0.0,0.8,0.07647156715393066,1.8428080081939697,0.0065329215,0.012115275,-0.014507257,-5.457773298114446,0.0,531.8,40000,8.318158864974976,0.003641675545926898,0.0035023278176359966,-5.348870245482211,0.0,0.0
61,10.262105703353882,-5.3138312059732105,2.033116028939983,-2.122318227985092,-9.311121318356577,388.9,268.51776477544274,1240,0,0.0,1.0,0.07739830017089844,1.7756633758544922,0.009939791,-0.022657515,0.009479053,-5.443379088900323,0.0,388.9,40000,8.169909715652466,0.004827195413780037,0.004252372837733104,-5.60656144569569,0.0,10.4
62,10.255712509155273,-5.962654303183158,2.168586276877075,-2.238631070646663,-9.871484417458232,581.25,339.28444924576195,1810,0,0.0,0.8,0.07695746421813965,1.7706775665283203,0.006426896,0.011903592,-0.015319426,-5.495306610328607,0.0,581.25,40000,8.255072593688965,0.004281618386110763,0.0026844929112856556,-5.42584214272166,0.0,0.0
63,10.307802677154541,-5.640093396709936,2.1557049245488566,-1.9840486634801435,-9.622173404606967,424.8,279.3921258732966,1370,0,0.0,1.0,0.07718873023986816,1.764629602432251,0.009878118,-0.021635162,0.009756006,-5.50978528896674,0.0,424.8,40000,8.257320880889893,0.005779148870153143,0.005074621881986173,-5.647205911442627,0.0,19.2
64,10.160311222076416,-5.873835512788458,2.1583773708986977,-2.3931606308141964,-10.176014785961998,682.75,401.5768139472198,2020,0,0.0,0.8,0.07660651206970215,1.7725238800048828,0.0064651445,0.011322043,-0.015389067,-5.546190311348912,0.0,682.75,40000,8.244244575500488,0.004125300416921174,0.0038648606329918195,-5.50192887301303,0.0,0.0
65,10.30000114440918,-5.6780713835749275,2.154591814808782,-2.2800001119535063,-9.712876344026217,491.05,317.8307686489777,1560,0,0.0,1.0,0.07671093940734863,1.7731029987335205,0.009915467,-0.023958798,0.013078066,-5.559378418571514,0.0,491.05,40000,8.017110824584961,0.004633009807153933,0.002994716614534349,-5.7140361568349824,0.0,31.6
66,10.157368183135986,-6.350105863249537,2.09781579883163,-2.4786555208308885,-10.134650060021269,805.6,373.4737474040177,2110,0,0.0,0.8,0.07946157455444336,1.7838544845581055,0.0064840713,0.013553819,-0.01564546,-5.638451163039317,0.0,805.6,40000,7.753254413604736,0.003602344695002591,0.002513623896391301,-5.566318424423785,0.0,0.0
